threshold,space_id,source_similarity_cluster_id,source_similarity_cluster_size,source_similarity_cluster_weight,source_shingles,similarity_eligible,source_similarity_basis
0.85,akshay0149/TeachingAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Anil3920/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Anilkumar12/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,169,True,token_jaccard_single_linkage
0.85,Apoorvahu/my-study-assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,BadaPoojitha/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,176,True,token_jaccard_single_linkage
0.85,cipher2150/Study-Assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,DakshSadotra/my-study-assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,176,True,token_jaccard_single_linkage
0.85,dinu143/Study-Assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,gopichand55k/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,harika-donthula/my-study-assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,jakeeeeeeee/my-study-assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,kundan857/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Megana10/ai_study_assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,mithilesh22/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,176,True,token_jaccard_single_linkage
0.85,Nitinane/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Premsp2005/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,176,True,token_jaccard_single_linkage
0.85,rexiy/study_assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Rushi420/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,169,True,token_jaccard_single_linkage
0.85,SaiRithwik2004/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Samyakj69/Study_Assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,179,True,token_jaccard_single_linkage
0.85,sangareddijaswanth/study_assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,178,True,token_jaccard_single_linkage
0.85,saru21/study_assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,sreenivasulaReddy/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,173,True,token_jaccard_single_linkage
0.85,Srushtii-13/Study_Assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,Trinesh16/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,VarunGoud314/Study_assistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
0.85,abubakaraabi786/programming-tutor-chatbot,unique:abubakaraabi786/programming-tutor-chatbot,1,1.0,677,True,token_jaccard_single_linkage
0.85,Achyutar/Engross-Educational-AI,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,alusinebarrie/ai-teaching-assistant,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,appcreator199/studyassistant,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,forWard666/AL_TEACHING_ASSISTANT,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,harshu07/ai_tutor,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,hasithmutha/quiz-generator-ai,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,montue/Teaching_Assistant,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,samekbotfactorycz/aitutor,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,212,True,token_jaccard_single_linkage
0.85,uc-msai631-2025-spring/group2_study_assistant,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,wangzy217/Teaching_Assistant,f77991b67d4bdec813544b7ec3c0e4e79cb78c3086a476cce326df98617d6028,10,0.1,205,True,token_jaccard_single_linkage
0.85,adil1598/edubot-ai-latex-learning-companion,unique:adil1598/edubot-ai-latex-learning-companion,1,1.0,1817,True,token_jaccard_single_linkage
0.85,Aditya1546/ai-study-assistant,unique:Aditya1546/ai-study-assistant,1,1.0,729,True,token_jaccard_single_linkage
0.85,AdityaKokate/StudyAssistant,unique:AdityaKokate/StudyAssistant,1,1.0,179,True,token_jaccard_single_linkage
0.85,adriiita/TeachingAssistant,unique:adriiita/TeachingAssistant,1,1.0,901,True,token_jaccard_single_linkage
0.85,Agents-MCP-Hackathon/AI-Quiz-Generator,a1976c6896837ba2691a189fe8570f7bae7093205789d06f24f1706feeeca1b1,2,0.5,356,True,token_jaccard_single_linkage
0.85,viraja1/AI-Quiz-Generator,a1976c6896837ba2691a189fe8570f7bae7093205789d06f24f1706feeeca1b1,2,0.5,356,True,token_jaccard_single_linkage
0.85,Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,unique:Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,1,1.0,4313,True,token_jaccard_single_linkage
0.85,Agents-MCP-Hackathon/AI_tutor,unique:Agents-MCP-Hackathon/AI_tutor,1,1.0,4912,True,token_jaccard_single_linkage
0.85,ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,unique:ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,1,1.0,3164,True,token_jaccard_single_linkage
0.85,Akash035/my_study_assistant,unique:Akash035/my_study_assistant,1,1.0,173,True,token_jaccard_single_linkage
0.85,akhileshjethi/Study-assistant-ai,unique:akhileshjethi/Study-assistant-ai,1,1.0,194,True,token_jaccard_single_linkage
0.85,Aleesha29/socratic_tutor,unique:Aleesha29/socratic_tutor,1,1.0,1547,True,token_jaccard_single_linkage
0.85,alusinebarrie/your-ai-teaching-assistant,unique:alusinebarrie/your-ai-teaching-assistant,1,1.0,116,True,token_jaccard_single_linkage
0.85,amalrajmp/StudyAssistant,unique:amalrajmp/StudyAssistant,1,1.0,188,True,token_jaccard_single_linkage
0.85,aman7935/Quiz_generator,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,245,True,token_jaccard_single_linkage
0.85,educationAI/education-ai-study-assistant,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,245,True,token_jaccard_single_linkage
0.85,ekerin/german-tutor-chatbot,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,245,True,token_jaccard_single_linkage
0.85,Mehak0711/AI_TUTOR,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,241,True,token_jaccard_single_linkage
0.85,naveensngc/AI-Tutor,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,241,True,token_jaccard_single_linkage
0.85,ramashandoubeh/Education-chatbot,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,245,True,token_jaccard_single_linkage
0.85,roshandakhore2003/nuron-teaching-assistant,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,241,True,token_jaccard_single_linkage
0.85,Saravana-Saro14/Educational-chatbot,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,245,True,token_jaccard_single_linkage
0.85,Sree1216/AI_tutor,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,241,True,token_jaccard_single_linkage
0.85,tejuu23/ai-tutor,4fdce22e6628ea43361cfb11301e2f0f8921a8915b75de8e87cf1cd7627cd877,10,0.1,241,True,token_jaccard_single_linkage
0.85,AneelaFatima/AI_Friendly_Study_Tutor,unique:AneelaFatima/AI_Friendly_Study_Tutor,1,1.0,1319,True,token_jaccard_single_linkage
0.85,anir-1995/AI_Quiz_Generator,unique:anir-1995/AI_Quiz_Generator,1,1.0,1640,True,token_jaccard_single_linkage
0.85,AnishaG0201/maths_quiz_generator,unique:AnishaG0201/maths_quiz_generator,1,1.0,415,True,token_jaccard_single_linkage
0.85,ankittumu/Ace-Study-Assistant,unique:ankittumu/Ace-Study-Assistant,1,1.0,1002,True,token_jaccard_single_linkage
0.85,Anmol2006/AI_Study_Assistant,unique:Anmol2006/AI_Study_Assistant,1,1.0,179,True,token_jaccard_single_linkage
0.85,antedotee/teachingAssistant,unique:antedotee/teachingAssistant,1,1.0,1448,True,token_jaccard_single_linkage
0.85,Anupam251272/Education-Chatbot-Anupam,1238f8c2b8b96354fda0515255060d8f27766afca70c73dec2be62b3a0d9c8fd,2,0.5,545,True,token_jaccard_single_linkage
0.85,pratikshahp/Education-Chatbot-Guardrail,1238f8c2b8b96354fda0515255060d8f27766afca70c73dec2be62b3a0d9c8fd,2,0.5,545,True,token_jaccard_single_linkage
0.85,Archimagos/ai_tutor,unique:Archimagos/ai_tutor,1,1.0,129,True,token_jaccard_single_linkage
0.85,Archimagos/ai_tutor_3.2,unique:Archimagos/ai_tutor_3.2,1,1.0,387,True,token_jaccard_single_linkage
0.85,arjunjuneja/socratic-tutor,unique:arjunjuneja/socratic-tutor,1,1.0,2925,True,token_jaccard_single_linkage
0.85,arjunnnnn0720/StudyAssistant,unique:arjunnnnn0720/StudyAssistant,1,1.0,180,True,token_jaccard_single_linkage
0.85,arkiitkgp/AITutor,unique:arkiitkgp/AITutor,1,1.0,291,True,token_jaccard_single_linkage
0.85,Arko3910/Study_Assistant,unique:Arko3910/Study_Assistant,1,1.0,737,True,token_jaccard_single_linkage
0.85,Armour-12/Quiz-generator-t5base,unique:Armour-12/Quiz-generator-t5base,1,1.0,196,True,token_jaccard_single_linkage
0.85,Armour-12/Quiz_Generator,d8869e670584e20eca1864c588346c561c5182b11ea921e5d3393a1b2a3c6ef8,2,0.5,534,True,token_jaccard_single_linkage
0.85,mohammednouman/CB-Quiz-Generator,d8869e670584e20eca1864c588346c561c5182b11ea921e5d3393a1b2a3c6ef8,2,0.5,534,True,token_jaccard_single_linkage
0.85,ARNABMAJI1234/interactive-study-assistant-demo,unique:ARNABMAJI1234/interactive-study-assistant-demo,1,1.0,198,True,token_jaccard_single_linkage
0.85,arsalan16/Quiz-Generator-App,unique:arsalan16/Quiz-Generator-App,1,1.0,351,True,token_jaccard_single_linkage
0.85,Artykun/Ai-Quiz-Generator,unique:Artykun/Ai-Quiz-Generator,1,1.0,1204,True,token_jaccard_single_linkage
0.85,arumugam-rockstar/Myfirst-AITutor,unique:arumugam-rockstar/Myfirst-AITutor,1,1.0,201,True,token_jaccard_single_linkage
0.85,asad9641/AI-Study-Assistant-Ragbase,unique:asad9641/AI-Study-Assistant-Ragbase,1,1.0,1564,True,token_jaccard_single_linkage
0.85,Ashwand5/AI_Educational_Assistant,unique:Ashwand5/AI_Educational_Assistant,1,1.0,1335,True,token_jaccard_single_linkage
0.85,Asif1karim/Study_Assistant,unique:Asif1karim/Study_Assistant,1,1.0,2821,True,token_jaccard_single_linkage
0.85,aviatrix/Ai_Powered_Study_Assistant,unique:aviatrix/Ai_Powered_Study_Assistant,1,1.0,190,True,token_jaccard_single_linkage
0.85,Axiosingular/ai-tutor,unique:Axiosingular/ai-tutor,1,1.0,297,True,token_jaccard_single_linkage
0.85,ay3shaa/ai-study-assistant,unique:ay3shaa/ai-study-assistant,1,1.0,956,True,token_jaccard_single_linkage
0.85,AyeshaMasood/quiz-generator,unique:AyeshaMasood/quiz-generator,1,1.0,718,True,token_jaccard_single_linkage
0.85,ayudellastuti/rag-quiz-generator,unique:ayudellastuti/rag-quiz-generator,1,1.0,4295,True,token_jaccard_single_linkage
0.85,ayushsainime/socratic_maths_tutor.ai,unique:ayushsainime/socratic_maths_tutor.ai,1,1.0,861,True,token_jaccard_single_linkage
0.85,Bahauddin01/language-tutor-ai,unique:Bahauddin01/language-tutor-ai,1,1.0,432,True,token_jaccard_single_linkage
0.85,Belliar666/english-tutor-chatbot,unique:Belliar666/english-tutor-chatbot,1,1.0,617,True,token_jaccard_single_linkage
0.85,Bhargavi-31/Ai_tutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,152,True,token_jaccard_single_linkage
0.85,chandanareddy1234/AITutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,164,True,token_jaccard_single_linkage
0.85,Charan-27-10/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,Harika06/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,Karishma-19/AI-Tutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,152,True,token_jaccard_single_linkage
0.85,mashetti-17varshitha/AI_tutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,152,True,token_jaccard_single_linkage
0.85,mounikathatikonda/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,157,True,token_jaccard_single_linkage
0.85,NIKHITHA913/aitutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,nruhh/Ai_tutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,poojithathalla/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,provokingdiaries/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,samakanishkareddy/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,SambaReshma/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,sanakousar/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,sandariyogitha/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,156,True,token_jaccard_single_linkage
0.85,santhoshi-123/AITUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,164,True,token_jaccard_single_linkage
0.85,Sirichandanasamala/AI_TUTOR,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,164,True,token_jaccard_single_linkage
0.85,Sri921980/Ai_Tutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,157,True,token_jaccard_single_linkage
0.85,sudeepthitellapally/AITutor,b91fdcd463cc27c181da9d583e3f57fee67f978cff6649d34e52f2a91acab892,19,0.05263157894736842,164,True,token_jaccard_single_linkage
0.85,bhaskarreddy2006/my-study-assistant,unique:bhaskarreddy2006/my-study-assistant,1,1.0,182,True,token_jaccard_single_linkage
0.85,Bhuvana908/StudyAssistant,unique:Bhuvana908/StudyAssistant,1,1.0,179,True,token_jaccard_single_linkage
0.85,bielik-chatbot-devteam/english_tutor_bielik_ai,unique:bielik-chatbot-devteam/english_tutor_bielik_ai,1,1.0,1860,True,token_jaccard_single_linkage
0.85,bimboawo2026/AI-Tutor,unique:bimboawo2026/AI-Tutor,1,1.0,156,True,token_jaccard_single_linkage
0.85,bobo0000/PDF-Quiz-Generator,unique:bobo0000/PDF-Quiz-Generator,1,1.0,2715,True,token_jaccard_single_linkage
0.85,Boyston/reachy_mini_language_tutor,e71c55be1775e3e30c953dab266de56fe59553c11e7021dfc5c36551ae088564,2,0.5,8169,True,token_jaccard_single_linkage
0.85,mattdotvaughn/reachy_mini_language_tutor,e71c55be1775e3e30c953dab266de56fe59553c11e7021dfc5c36551ae088564,2,0.5,8169,True,token_jaccard_single_linkage
0.85,brcew/ai-engineering-tutor,unique:brcew/ai-engineering-tutor,1,1.0,3652,True,token_jaccard_single_linkage
0.85,BRH-Burhanudin/kimia-ai-tutor,unique:BRH-Burhanudin/kimia-ai-tutor,1,1.0,4352,True,token_jaccard_single_linkage
0.85,Brisha124/AI_TUTOR,unique:Brisha124/AI_TUTOR,1,1.0,146,True,token_jaccard_single_linkage
0.85,build-small-hackathon/tutordesk-ai,unique:build-small-hackathon/tutordesk-ai,1,1.0,1443,True,token_jaccard_single_linkage
0.85,BUNNY95R/AI_study_assistant,unique:BUNNY95R/AI_study_assistant,1,1.0,207,True,token_jaccard_single_linkage
0.85,ChandiniSiri/AI_TUTOR,unique:ChandiniSiri/AI_TUTOR,1,1.0,160,True,token_jaccard_single_linkage
0.85,chandrakireeti/StudyAssistant,fc1e5d9fcd6b049fb5daa1ec7532cbf1913b39b3fd64a98ad00b36870051ce4c,3,0.3333333333333333,175,True,token_jaccard_single_linkage
0.85,pranaymachi/StudyAssistant,fc1e5d9fcd6b049fb5daa1ec7532cbf1913b39b3fd64a98ad00b36870051ce4c,3,0.3333333333333333,175,True,token_jaccard_single_linkage
0.85,Rajeev0102/StudyAssistant,fc1e5d9fcd6b049fb5daa1ec7532cbf1913b39b3fd64a98ad00b36870051ce4c,3,0.3333333333333333,175,True,token_jaccard_single_linkage
0.85,chapeljj/PISA-Teaching-Assistant-Chatbot,unique:chapeljj/PISA-Teaching-Assistant-Chatbot,1,1.0,3308,True,token_jaccard_single_linkage
0.85,cheriftassii/my-ai-tutor,unique:cheriftassii/my-ai-tutor,1,1.0,284,True,token_jaccard_single_linkage
0.85,Chidvilash3/socratic-tutor,unique:Chidvilash3/socratic-tutor,1,1.0,282,True,token_jaccard_single_linkage
0.85,chsubhasis/AI_Tutor,unique:chsubhasis/AI_Tutor,1,1.0,300,True,token_jaccard_single_linkage
0.85,clugg25/cluggos-ai-quiz-generator,unique:clugg25/cluggos-ai-quiz-generator,1,1.0,545,True,token_jaccard_single_linkage
0.85,CodeDiva42/study-assistant,e5c9120d28c1f374201ae06e67e93c69a75a6538e85106da0c2ccb5aa0a487da,2,0.5,1257,True,token_jaccard_single_linkage
0.85,RayaRam11/Study-assistant,e5c9120d28c1f374201ae06e67e93c69a75a6538e85106da0c2ccb5aa0a487da,2,0.5,1257,True,token_jaccard_single_linkage
0.85,codewithchaitanya15/StudyAssistant,unique:codewithchaitanya15/StudyAssistant,1,1.0,179,True,token_jaccard_single_linkage
0.85,cosmoEagle/DSA-Teaching-Assistant,unique:cosmoEagle/DSA-Teaching-Assistant,1,1.0,2279,True,token_jaccard_single_linkage
0.85,crystallizedcrust/quiz-generator,unique:crystallizedcrust/quiz-generator,1,1.0,585,True,token_jaccard_single_linkage
0.85,CT-AITUTOR/AITUTOR,unique:CT-AITUTOR/AITUTOR,1,1.0,451,True,token_jaccard_single_linkage
0.85,curalearning/lesson_plan_generator,unique:curalearning/lesson_plan_generator,1,1.0,1411,True,token_jaccard_single_linkage
0.85,Cyfer-ap/AI-Coding-Tutor,unique:Cyfer-ap/AI-Coding-Tutor,1,1.0,1025,True,token_jaccard_single_linkage
0.85,danielspba/Chatbot-Tutor-IA,unique:danielspba/Chatbot-Tutor-IA,1,1.0,407,True,token_jaccard_single_linkage
0.85,danielspba/Chatbot_prof_tutor,unique:danielspba/Chatbot_prof_tutor,1,1.0,272,True,token_jaccard_single_linkage
0.85,Danny2311/Quiz-Generator,unique:Danny2311/Quiz-Generator,1,1.0,379,True,token_jaccard_single_linkage
0.85,danrdoran/ai_tutor_flan_base,unique:danrdoran/ai_tutor_flan_base,1,1.0,133,True,token_jaccard_single_linkage
0.85,danrdoran/ai_tutor_flan_t5_large,unique:danrdoran/ai_tutor_flan_t5_large,1,1.0,165,True,token_jaccard_single_linkage
0.85,danrdoran/ai_tutor_gpt_neox,unique:danrdoran/ai_tutor_gpt_neox,1,1.0,91,True,token_jaccard_single_linkage
0.85,danrdoran/ai_tutor_llama,unique:danrdoran/ai_tutor_llama,1,1.0,101,True,token_jaccard_single_linkage
0.85,danrdoran/ai_tutor_v2,unique:danrdoran/ai_tutor_v2,1,1.0,125,True,token_jaccard_single_linkage
0.85,DataRebels/chatbot_language_tutor,unique:DataRebels/chatbot_language_tutor,1,1.0,772,True,token_jaccard_single_linkage
0.85,DataWizard9742/LessonPlanGenerator,unique:DataWizard9742/LessonPlanGenerator,1,1.0,286,True,token_jaccard_single_linkage
0.85,david280010195/Teaching_Assistant_AI,a6244030eb0731a8bcb108c69d25bdef7238412278d133a120f761ef4f128116,2,0.5,1310,True,token_jaccard_single_linkage
0.85,Rishabh12j/Teaching_Assistant_AI,a6244030eb0731a8bcb108c69d25bdef7238412278d133a120f761ef4f128116,2,0.5,1306,True,token_jaccard_single_linkage
0.85,deepang1902/quiz-generator-api,unique:deepang1902/quiz-generator-api,1,1.0,266,True,token_jaccard_single_linkage
0.85,DeepLearningAI/quiz-generator-v3,unique:DeepLearningAI/quiz-generator-v3,1,1.0,2144,True,token_jaccard_single_linkage
0.85,deepthi8518/StudyAssistantApp,unique:deepthi8518/StudyAssistantApp,1,1.0,200,True,token_jaccard_single_linkage
0.85,deneve07/pharma-quiz-generator,unique:deneve07/pharma-quiz-generator,1,1.0,4694,True,token_jaccard_single_linkage
0.85,dhanushshenoyh/study_assistant,unique:dhanushshenoyh/study_assistant,1,1.0,203,True,token_jaccard_single_linkage
0.85,DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,unique:DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,1,1.0,579,True,token_jaccard_single_linkage
0.85,dhivakar/my-study-assistant,unique:dhivakar/my-study-assistant,1,1.0,56,True,token_jaccard_single_linkage
0.85,Diid12rt/AITUTOR,unique:Diid12rt/AITUTOR,1,1.0,668,True,token_jaccard_single_linkage
0.85,dikshita0503/pdf-to-quiz-generator,unique:dikshita0503/pdf-to-quiz-generator,1,1.0,1166,True,token_jaccard_single_linkage
0.85,dineshstark7/StudyAssistant,unique:dineshstark7/StudyAssistant,1,1.0,397,True,token_jaccard_single_linkage
0.85,DipakBundheliya/flask_ai_tutor,unique:DipakBundheliya/flask_ai_tutor,1,1.0,587,True,token_jaccard_single_linkage
0.85,djaber15/ai_tutor,unique:djaber15/ai_tutor,1,1.0,3432,True,token_jaccard_single_linkage
