model_id,resolved,resolution_status,author,base_models,license,gated,downloads,likes,created_at,last_modified,pipeline_tag,provider,provider_basis,model_family
ke955/smm2-course-generator,True,200,ke955,,missing,False,0.0,0.0,2026-04-13T10:44:19.000Z,2026-04-15T12:50:49.000Z,,namespace:ke955,unmapped_public_namespace,smm2
koshkosh/quiz-generator,True,200,koshkosh,,missing,False,10.0,1.0,2024-10-19T11:11:57.000Z,2024-10-19T18:36:57.000Z,,namespace:koshkosh,unmapped_public_namespace,quiz
LiquidAI/LFM2-1.2B,True,200,LiquidAI,,other,False,81466.0,365.0,2025-07-10T12:01:50.000Z,2026-08-05T16:57:07.000Z,text-generation,namespace:LiquidAI,unmapped_public_namespace,LFM2
lmqg/mt5-small-esquad-qg,True,200,lmqg,,cc-by-4.0,False,14.0,0.0,2022-06-06T13:52:09.000Z,2023-01-18T13:43:09.000Z,text-generation,namespace:lmqg,unmapped_public_namespace,mt5
lmsys/vicuna-7b-v1.1,True,200,lmsys,,missing,False,990.0,77.0,2023-04-12T21:43:30.000Z,2023-08-01T18:26:25.000Z,text-generation,namespace:lmsys,unmapped_public_namespace,vicuna
LoveJesus/biblical-parser-chirho,True,200,LoveJesus,,mit,False,8.0,0.0,2026-02-14T12:26:38.000Z,2026-02-15T05:18:50.000Z,text-generation,namespace:LoveJesus,unmapped_public_namespace,biblical
MBZUAI/LaMini-Flan-T5-783M,True,200,MBZUAI,,cc-by-nc-4.0,False,695.0,84.0,2023-04-17T05:34:40.000Z,2023-04-28T12:09:08.000Z,text-generation,namespace:MBZUAI,unmapped_public_namespace,T5/FLAN-T5
meta-llama/Llama-2-7b-chat-hf,True,200,meta-llama,,llama2,manual,352820.0,4825.0,2023-07-13T16:45:23.000Z,2024-04-17T08:40:48.000Z,text-generation,Meta,model_namespace,Llama
meta-llama/Llama-3-70b-chat-hf,False,401,,,missing,,,,,,,Meta,model_namespace,Llama
meta-llama/Llama-3.1-8B-Instruct,True,200,meta-llama,meta-llama/Llama-3.1-8B;meta-llama/Meta-Llama-3.1-8B,llama3.1,manual,5944077.0,6709.0,2024-07-18T08:56:00.000Z,2024-09-25T17:00:57.000Z,text-generation,Meta,base_model_namespace,Llama
meta-llama/Llama-3.2-11B-Vision-Instruct,True,200,meta-llama,,llama3.2,manual,110537.0,1636.0,2024-09-18T16:47:28.000Z,2024-12-04T01:35:48.000Z,image-text-to-text,Meta,model_namespace,Llama
meta-llama/Llama-3.2-1B,True,200,meta-llama,,llama3.2,manual,1396948.0,2551.0,2024-09-18T15:03:14.000Z,2024-10-24T15:08:03.000Z,text-generation,Meta,model_namespace,Llama
meta-llama/Llama-3.2-1B-Instruct,True,200,meta-llama,,llama3.2,manual,6655517.0,1592.0,2024-09-18T15:12:47.000Z,2024-10-24T15:07:51.000Z,text-generation,Meta,model_namespace,Llama
meta-llama/Llama-3.2-3B-Instruct,True,200,meta-llama,,llama3.2,manual,971677.0,2478.0,2024-09-18T15:19:20.000Z,2024-10-24T15:07:29.000Z,text-generation,Meta,model_namespace,Llama
meta-llama/Llama-3.3-70B-Instruct,True,200,meta-llama,meta-llama/Llama-3.1-70B,llama3.3,manual,339658.0,2983.0,2024-11-26T16:08:47.000Z,2024-12-21T18:28:01.000Z,text-generation,Meta,base_model_namespace,Llama
meta-llama/Llama-4-Maverick-17B-128E-Instruct,True,200,meta-llama,meta-llama/Llama-4-Maverick-17B-128E,other,manual,11350.0,505.0,2025-04-01T22:17:20.000Z,2025-05-22T23:46:12.000Z,image-text-to-text,Meta,base_model_namespace,Llama
meta-llama/Llama-4-Scout-17B-16E-Instruct,True,200,meta-llama,meta-llama/Llama-4-Scout-17B-16E,other,manual,247235.0,1335.0,2025-04-02T13:34:17.000Z,2025-05-22T23:44:50.000Z,image-text-to-text,Meta,base_model_namespace,Llama
meta-llama/Llama-Guard-4-12B,True,200,meta-llama,,other,manual,90807.0,121.0,2025-04-23T11:30:25.000Z,2025-04-29T18:14:44.000Z,image-text-to-text,Meta,model_namespace,Llama
Meta-Llama/LlamaGuard-2-8b,False,401,,,missing,,,,,,,Meta,model_namespace,Llama
meta-llama/Meta-Llama-3-70B-Instruct,True,200,meta-llama,meta-llama/Meta-Llama-3-70B,llama3,manual,72217.0,1525.0,2024-04-17T09:34:54.000Z,2025-06-18T23:49:26.000Z,text-generation,Meta,base_model_namespace,Llama
meta-llama/Meta-Llama-3-8B,True,200,meta-llama,,llama3,manual,712862.0,6636.0,2024-04-17T09:35:16.000Z,2024-09-27T15:52:33.000Z,text-generation,Meta,model_namespace,Llama
meta-llama/Meta-Llama-3-8B-Instruct,True,200,meta-llama,,llama3,manual,1655944.0,4864.0,2024-04-17T09:35:12.000Z,2025-06-18T23:49:51.000Z,text-generation,Meta,model_namespace,Llama
microsoft/DialoGPT-medium,True,200,microsoft,,mit,False,168887.0,439.0,2022-03-02T23:29:05.000Z,2024-02-29T15:48:54.000Z,text-generation,Microsoft,model_namespace,DialoGPT
microsoft/phi-1_5,True,200,microsoft,,mit,False,54255.0,1362.0,2023-09-10T04:03:46.000Z,2025-11-24T16:58:09.000Z,text-generation,Microsoft,model_namespace,Phi
microsoft/Phi-3-mini-128k-instruct,True,200,microsoft,,mit,False,295803.0,1704.0,2024-04-22T16:26:23.000Z,2025-12-10T20:21:52.000Z,text-generation,Microsoft,model_namespace,Phi
microsoft/Phi-3-mini-4k-instruct,True,200,microsoft,,mit,False,628747.0,1453.0,2024-04-22T16:18:17.000Z,2025-12-10T20:22:18.000Z,text-generation,Microsoft,model_namespace,Phi
microsoft/trocr-base-printed,True,200,microsoft,,missing,False,194632.0,218.0,2022-03-02T23:29:05.000Z,2024-05-27T20:11:53.000Z,image-to-text,Microsoft,model_namespace,trocr
microsoft/trocr-small-printed,True,200,microsoft,,missing,False,36431.0,52.0,2022-03-02T23:29:05.000Z,2024-05-27T20:13:39.000Z,image-to-text,Microsoft,model_namespace,trocr
mistralai/Mistral-7B-Instruct,False,401,,,missing,,,,,,,Mistral AI,model_namespace,Mistral/Mixtral
mistralai/Mistral-7B-Instruct-v0.1,True,200,mistralai,mistralai/Mistral-7B-v0.1,apache-2.0,False,175007.0,1850.0,2023-09-27T14:31:52.000Z,2025-07-24T16:44:46.000Z,text-generation,Mistral AI,base_model_namespace,Mistral/Mixtral
mistralai/Mistral-7B-Instruct-v0.2,True,200,mistralai,,apache-2.0,False,1156920.0,3204.0,2023-12-11T13:18:44.000Z,2025-07-24T16:57:21.000Z,text-generation,Mistral AI,model_namespace,Mistral/Mixtral
mistralai/Mistral-7B-Instruct-v0.3,True,200,mistralai,mistralai/Mistral-7B-v0.3,apache-2.0,False,3118121.0,2832.0,2024-05-22T09:57:04.000Z,2025-12-03T12:13:48.000Z,,Mistral AI,base_model_namespace,Mistral/Mixtral
mistralai/mistral-7b-instruct:free,False,401,,,missing,,,,,,,Mistral AI,model_namespace,Mistral/Mixtral
mistralai/Mistral-7B-v0.1,True,200,mistralai,,apache-2.0,False,369184.0,4149.0,2023-09-20T13:03:50.000Z,2025-07-24T16:44:02.000Z,text-generation,Mistral AI,model_namespace,Mistral/Mixtral
mistralai/Mixtral-8x7B-Instruct-v0.1,True,200,mistralai,mistralai/Mixtral-8x7B-v0.1,apache-2.0,False,317889.0,4722.0,2023-12-10T18:47:12.000Z,2025-07-24T16:41:06.000Z,,Mistral AI,base_model_namespace,Mistral/Mixtral
mixedbread-ai/mxbai-embed-large-v1,True,200,mixedbread-ai,,apache-2.0,False,3128936.0,823.0,2024-03-07T15:45:34.000Z,2026-01-23T11:59:58.000Z,feature-extraction,namespace:mixedbread-ai,unmapped_public_namespace,mxbai
models/gemini-2.5-flash,False,401,,,missing,,,,,,,namespace:models,unmapped_public_namespace,gemini
models/gemini-3.1-flash-lite,False,401,,,missing,,,,,,,namespace:models,unmapped_public_namespace,gemini
models/gemini-embedding-001,False,401,,,missing,,,,,,,namespace:models,unmapped_public_namespace,gemini
moonshotai/Kimi-K2-Instruct,True,200,moonshotai,,other,False,163266.0,2376.0,2025-07-11T00:55:12.000Z,2026-04-23T02:08:36.000Z,text-generation,Moonshot AI,model_namespace,Kimi
mrm8488/t5-base-finetuned-question-generation-ap,True,200,mrm8488,,apache-2.0,False,773.0,118.0,2022-03-02T23:29:05.000Z,2023-05-31T10:57:57.000Z,,namespace:mrm8488,unmapped_public_namespace,T5/FLAN-T5
naazimsnh02/tutordesk-qwen3-4b,True,200,naazimsnh02,Qwen/Qwen3-4B,apache-2.0,False,6.0,0.0,2026-06-13T15:55:50.000Z,2026-06-13T16:04:51.000Z,text-generation,Alibaba,base_model_namespace,Qwen
onnx-community/Qwen2.5-0.5B-Instruct,True,200,onnx-community,Qwen/Qwen2.5-0.5B-Instruct,missing,False,12975.0,18.0,2024-09-23T06:19:17.000Z,2024-10-08T13:29:33.000Z,text-generation,Alibaba,base_model_namespace,Qwen
openai-community/gpt2,True,200,openai-community,,mit,False,14392561.0,3459.0,2022-03-02T23:29:04.000Z,2024-02-19T10:57:45.000Z,text-generation,namespace:openai-community,unmapped_public_namespace,gpt2
openai-community/gpt2-large,True,200,openai-community,,mit,False,1031369.0,357.0,2022-03-02T23:29:04.000Z,2024-02-19T11:11:02.000Z,text-generation,namespace:openai-community,unmapped_public_namespace,gpt2
openai-community/gpt2-medium,True,200,openai-community,,mit,False,442706.0,205.0,2022-03-02T23:29:04.000Z,2024-02-19T12:39:04.000Z,text-generation,namespace:openai-community,unmapped_public_namespace,gpt2
openai/gpt-oss-120b,True,200,openai,,apache-2.0,False,5314695.0,5136.0,2025-08-04T22:33:06.000Z,2025-08-26T17:25:03.000Z,text-generation,OpenAI,model_namespace,gpt
openai/gpt-oss-20b,True,200,openai,,apache-2.0,False,6520972.0,4970.0,2025-08-04T22:33:29.000Z,2025-08-26T17:25:47.000Z,text-generation,OpenAI,model_namespace,gpt
openai/gpt-oss-20b:free,False,401,,,missing,,,,,,,OpenAI,model_namespace,gpt
openai/whisper-base.en,True,200,openai,,apache-2.0,False,245066.0,45.0,2022-09-26T06:58:29.000Z,2024-01-22T17:55:08.000Z,automatic-speech-recognition,OpenAI,model_namespace,Whisper
openai/whisper-medium.en,True,200,openai,,apache-2.0,False,48025.0,60.0,2022-09-26T07:02:02.000Z,2024-01-22T17:55:36.000Z,automatic-speech-recognition,OpenAI,model_namespace,Whisper
openai/whisper-small.en,True,200,openai,,apache-2.0,False,77844.0,61.0,2022-09-26T06:59:49.000Z,2024-01-22T17:55:26.000Z,automatic-speech-recognition,OpenAI,model_namespace,Whisper
OpenAssistant/oasst-sft-1-pythia-12b,True,200,OpenAssistant,,apache-2.0,False,316.0,277.0,2023-03-09T16:47:26.000Z,2023-03-11T14:25:14.000Z,text-generation,namespace:OpenAssistant,unmapped_public_namespace,oasst
openbmb/MiniCPM-V-4.6,True,200,openbmb,,apache-2.0,False,580539.0,1201.0,2026-04-13T09:12:47.000Z,2026-08-17T10:09:08.000Z,image-text-to-text,namespace:openbmb,unmapped_public_namespace,MiniCPM
openbmb/MiniCPM-V-4_5,True,200,openbmb,,apache-2.0,False,389181.0,1098.0,2025-08-24T10:39:55.000Z,2026-08-18T03:58:09.000Z,image-text-to-text,namespace:openbmb,unmapped_public_namespace,MiniCPM
OrdalieTech/Solon-embeddings-large-0.1,True,200,OrdalieTech,,mit,False,294329.0,53.0,2023-12-09T09:42:17.000Z,2024-03-26T15:53:50.000Z,feature-extraction,namespace:OrdalieTech,unmapped_public_namespace,Solon
Qwen/Qwen2.5-72B-Instruct,True,200,Qwen,Qwen/Qwen2.5-72B,other,False,444658.0,980.0,2024-09-16T11:56:31.000Z,2025-01-12T02:07:38.000Z,text-generation,Alibaba,base_model_namespace,Qwen
Qwen/Qwen2.5-7B-Instruct,True,200,Qwen,Qwen/Qwen2.5-7B,apache-2.0,False,10778217.0,1568.0,2024-09-16T11:55:40.000Z,2025-01-12T02:10:10.000Z,text-generation,Alibaba,base_model_namespace,Qwen
Qwen/Qwen2.5-VL-7B-Instruct,True,200,Qwen,,apache-2.0,False,8253677.0,1688.0,2025-01-26T09:26:37.000Z,2025-04-06T16:23:01.000Z,image-text-to-text,Alibaba,model_namespace,Qwen
qwen/qwen3-0.6b-04-28:free,False,401,,,missing,,,,,,,Alibaba,model_namespace,Qwen
Qwen/Qwen3-235B-A22B,True,200,Qwen,,apache-2.0,False,354190.0,1108.0,2025-04-27T03:53:46.000Z,2025-07-26T03:45:13.000Z,text-generation,Alibaba,model_namespace,Qwen
Qwen/Qwen3-32B,True,200,Qwen,,apache-2.0,False,4817066.0,739.0,2025-04-27T03:52:59.000Z,2025-07-26T03:45:22.000Z,text-generation,Alibaba,model_namespace,Qwen
Qwen/Qwen3-4B,True,200,Qwen,Qwen/Qwen3-4B-Base,apache-2.0,False,5253115.0,687.0,2025-04-27T03:41:29.000Z,2025-07-26T03:46:39.000Z,text-generation,Alibaba,base_model_namespace,Qwen
Qwen/Qwen3-4B-GGUF,True,200,Qwen,Qwen/Qwen3-4B,apache-2.0,False,348080.0,152.0,2025-05-05T08:48:20.000Z,2025-05-21T06:32:23.000Z,text-generation,Alibaba,base_model_namespace,Qwen
Qwen/Qwen3-Coder-480B-A35B-Instruct,True,200,Qwen,,apache-2.0,False,30948.0,1366.0,2025-07-22T14:52:38.000Z,2025-08-21T10:18:07.000Z,text-generation,Alibaba,model_namespace,Qwen
qwen/qwen3.6-27b,True,200,Qwen,,apache-2.0,False,5769310.0,2282.0,2026-04-21T07:50:43.000Z,2026-04-24T02:39:16.000Z,image-text-to-text,Alibaba,model_namespace,Qwen
Qwen/Qwen3.6-27B,True,200,Qwen,,apache-2.0,False,5769310.0,2282.0,2026-04-21T07:50:43.000Z,2026-04-24T02:39:16.000Z,image-text-to-text,Alibaba,model_namespace,Qwen
Qwen/Qwen3.8-27B,True,200,Qwen,,apache-2.0,False,4511348.0,13339.0,2026-08-05T08:22:59.000Z,2026-08-14T15:00:01.000Z,image-text-to-text,Alibaba,model_namespace,Qwen
runwayml/stable-diffusion-v1-5,True,200,stable-diffusion-v1-5,,creativeml-openrail-m,False,1495328.0,1257.0,2024-08-30T09:48:48.000Z,2024-09-07T16:20:30.000Z,text-to-image,namespace:runwayml,unmapped_public_namespace,Stable Diffusion
sagarvc420/results,True,200,sagarvc420,mistralai/Mistral-7B-v0.1,missing,False,0.0,0.0,2025-10-20T04:47:52.000Z,2025-10-20T06:36:26.000Z,,Mistral AI,base_model_namespace,Mistral/Mixtral
Salesforce/blip-image-captioning-base,True,200,Salesforce,,bsd-3-clause,False,1982431.0,885.0,2022-12-12T15:19:02.000Z,2025-02-03T06:45:16.000Z,image-to-text,namespace:Salesforce,unmapped_public_namespace,blip
Salesforce/blip2-opt-2.7b,True,200,Salesforce,,mit,False,443760.0,447.0,2023-02-06T16:21:49.000Z,2025-02-03T06:27:50.000Z,image-text-to-text,namespace:Salesforce,unmapped_public_namespace,blip2
Salesforce/codegen-350M-mono,True,200,Salesforce,,bsd-3-clause,False,126869.0,101.0,2022-04-11T16:18:21.000Z,2025-01-31T20:16:47.000Z,text-generation,namespace:Salesforce,unmapped_public_namespace,codegen
sentence-transformers/all-MiniLM-L6-v2,True,200,sentence-transformers,nreimers/MiniLM-L6-H384-uncased,apache-2.0,False,255115397.0,5307.0,2022-03-02T23:29:05.000Z,2026-06-01T06:29:13.000Z,sentence-similarity,namespace:sentence-transformers,unmapped_public_namespace,MiniLM
