space_id,code_files,source_shingles,similarity_eligible,missing_cache_files
danielspba/Chatbot_prof_tutor,1,272,True,0
Danny2311/Quiz-Generator,1,379,True,0
danrdoran/ai_tutor_flan_base,1,133,True,0
danrdoran/ai_tutor_flan_t5_large,1,165,True,0
danrdoran/ai_tutor_gpt_neox,1,91,True,0
danrdoran/ai_tutor_llama,1,101,True,0
danrdoran/ai_tutor_v2,1,125,True,0
DataRebels/chatbot_language_tutor,2,772,True,0
DataWizard9742/LessonPlanGenerator,1,286,True,0
david280010195/Teaching_Assistant_AI,5,1310,True,0
deepang1902/quiz-generator-api,1,266,True,0
DeepLearningAI/quiz-generator-v3,8,2144,True,0
deepthi8518/StudyAssistantApp,2,200,True,0
deneve07/pharma-quiz-generator,1,4694,True,0
dhanushshenoyh/study_assistant,1,203,True,0
DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,2,579,True,0
dhivakar/my-study-assistant,1,56,True,0
Diid12rt/AITUTOR,4,668,True,0
dikshita0503/pdf-to-quiz-generator,3,1166,True,0
dineshstark7/StudyAssistant,2,397,True,0
dinu143/Study-Assistant,1,172,True,0
DipakBundheliya/flask_ai_tutor,2,587,True,0
djaber15/ai_tutor,6,3432,True,0
DoctorHolly/BIO_Tutor_Chatbot,2,315,True,0
doudoug1/educational-chatbot,1,578,True,0
DroolingPanda/teachingAssistant,1,942,True,0
echarif/education_chatbot,1,1855,True,0
educationAI/education-ai-study-assistant,1,245,True,0
Ehtisham-84/Study-Assistant,1,1071,True,0
ekantabanik/Tutor_Ai,8,1442,True,0
ekerin/german-tutor-chatbot,1,245,True,0
ekerin/german-tutor-chatbot-v2,1,853,True,0
elsi29/Quiz-Generator-NLP,1,1093,True,0
elsi29/Quiz-Generator-TextPy,1,1314,True,0
emanramadan/Tutor_Chatbot,2,391,True,0
emanramadan/Tutor_Chatbot_,2,396,True,0
emashahzad/StudyAssistant,1,949,True,0
engrsalman/Educational-AI-Chatbot,1,301,True,0
eoinmcg/ai_tutor,1,589,True,0
fabeha-raheel/ai_study_assistant,1,890,True,0
fahadsiddiqui337/AI-education-chatbot,1,137,True,0
Faiz3399/Ai-tutor-assistant,2,364,True,0
Fatma033/Educational-Chatbot,1,538,True,0
fatymah12/AI_Quiz_Generator,1,465,True,0
Felrose/trisem-lesson-plan-generator,1,1331,True,0
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,1,1331,True,0
firobeid/AI_Tutor,1,8,False,0
fizailyas783/smart-study-assistant,1,812,True,0
flexfitfury9/ai-educational-platform,7,5006,True,0
flexfitfury9/Ai_educational_platform,2,1672,True,0
forWard666/AL_TEACHING_ASSISTANT,1,205,True,0
gaurav9821/AI-language-Tutor,1,95,True,0
geekaijosh/Agent_AI_Tutor,1,781,True,0
Gimgaru/finalproject_aitutor,1,1393,True,0
gneya/educational_chatbot,2,688,True,0
gobikrishna87/TechBytz-AI-Tutor,1,151,True,0
GoIpKrIsHnA/studyAssistantAI,1,169,True,0
google/rad_learning_companion,6,2968,True,0
gopichand55k/StudyAssistant,1,172,True,0
gouravbathla/Language_Tutor,3,1605,True,0
gr3g0r-i/quiz-generator,1,153,True,0
guddolla/ai.tutor,4,485,True,0
guddolla/AI_TUTOR,4,485,True,0
Gungz/quiz-generator-baidu-ernie,1,1078,True,0
habiba-elshrkawy/quiz-generator,2,2903,True,0
hackmisty123/hack-misty-ai-tutor,8,10463,True,0
Hafeezaqsa01/Quiz_generator,1,30,False,0
Hafsah-Fatima/Programming_Tutor_Chatbot,1,164,True,0
Hafsah-Fatima/Programming_Tutor_Chatbot_0.2,1,166,True,0
haiderijaz/mock-quiz-generator,6,820,True,0
Hardik2704/Teaching_Assistant,1,413,True,0
Hareesh221/30-day-course-generator,1,192,True,0
harika-donthula/my-study-assistant,1,172,True,0
Harika06/AI_TUTOR,1,156,True,0
harikagajjala/AI_TUTOR,1,141,True,0
Hariprasaadh/QuizGenerator,1,605,True,0
HarryPotter1o1/Study_Assistant,1,761,True,0
harsha17v/StudyAssistant,2,315,True,0
Harsha855/StudyAssistant,1,161,True,0
harshj0506/teachingAssistant,1,730,True,0
harshu07/ai_tutor,1,205,True,0
hasithmutha/quiz-generator-ai,1,205,True,0
HemanthRaj/Socratic-AI-Tutor-Model,1,301,True,0
HemanthRaj/socratic-tutor-embedder,1,155,True,0
HumeraAI/lesson-plan-generator,1,319,True,0
HumeraAI/quiz-generator-from-PDF,1,574,True,0
hussainzaidi/AI-Teaching-Assistant,1,1044,True,0
husseinhug321/Study-Buddy-AI-Learning-Assistant,5,681,True,0
hyder-ali/ai_tutor,1,218,True,0
iamyash222/studyAssistant,1,163,True,0
ifaundezf/estudiapp-quiz-generator,1,211,True,0
iju123/Quiz_Generator,1,170,True,0
ilangs/AI_Math_Tutor,8,3381,True,0
ilsa15/educational_chatbot,1,228,True,0
Imsachinsingh00/education_chatbot,1,275,True,0
ishanmm0410/rag-quiz-generator,4,3694,True,0
isreyas/Study_Assistant,1,210,True,0
itsh4r01/AI-Quiz-Generator,1,91,True,0
Jainish210705/Quiz_Generator,1,1397,True,0
jakeeeeeeee/my-study-assistant,2,172,True,0
Janakimeena/RAG-Base-Educational-Chatbot,4,3602,True,0
Jangasathwika/ai.tutor,4,485,True,0
Jangasathwika/aitutor,4,429,True,0
Jayadityasahu/my-study-assistant,1,233,True,0
jayeshjachak/Study_Assistant,1,284,True,0
jdbolter/language-tutor,1,262,True,0
jee-ai-tutor/jee-ai-tutor-app,1,99,True,0
jenny-yuu/english-teaching-assistant,1,1028,True,0
jeyabala2905/12th-biology-ai-tutor,1,295,True,0
jimmyyzz/Quiz_Generator,4,1049,True,0
jlazoflores/Language_Tutor,3,1870,True,0
john-supplychain/cpim-ai-tutor,2,1387,True,0
jonowrenn/cs-study-assistant,1,446,True,0
Josebert/JR_Quiz_Generator,1,357,True,0
JPPD/Tutor-fisica-abp-chatbot,1,345,True,0
jsilbersky/AI-language-tutor,1,178,True,0
JulsdL/AI-Notebook-Tutor,8,1732,True,0
Junaidblr/lesson-plan-generator,1,319,True,0
jyoti210303/quiz-question-generator,1,67,True,0
KaifKohari/ai-math-tutor,1,583,True,0
kalai1915/AI-Tutor-Image-Gen,1,111,True,0
kanagaraj/StudyAssistant,1,216,True,0
Kanharamgurjar/Study_assistant_model,2,459,True,0
karibubybsf/ai_tutor,2,354,True,0
karibubybsf/ai_tutor_v2,3,979,True,0
karibubybsf/ai_tutor_v3,3,966,True,0
Karishma-19/AI-Tutor,1,152,True,0
KashishM/study_assistant,5,2617,True,0
KashTheDev123/Accounting-Tutor-AI,1,108,True,0
kastan/ai-teaching-assistant,4,2552,True,0
kastan/ai-teaching-assistant-beta,4,2544,True,0
Kaveri2109/rag-teaching-assistant,1,906,True,0
Kavya-Thakar/ai-teaching-assistant-v2,1,4059,True,0
kavyasri0821/AI_Converstational_Data_Science_Tutor,1,336,True,0
ke955/smm2-course-generator,1,3142,True,0
Keerthana96/bridge_course_generator,1,187,True,0
khankashif/education_assistant_chatbot,1,173,True,0
Khanmx99/Pak-Angels-AI-Tutor,5,1919,True,0
KhansaAQureshi/AI_Tutor,1,184,True,0
kinely/Study-Assistant,1,680,True,0
king011/AI-quiz-generator,1,737,True,0
kodamkarthik281/AI_Conversational_Tutor,1,440,True,0
kollalekhan/StudyAssistant,2,401,True,0
kousarshaik/AI_TUTOR,1,156,True,0
kr1shnasharma/academic-tutor-ai,6,7029,True,0
kr1shnasharma/swp1-academic-ai-tutor,3,561,True,0
krishala/TutorChatbot,1,798,True,0
Krishna-108/study-assistant,1,248,True,0
krishnachaithanya26/StudyAssistant,1,173,True,0
Krishnajha18/StudyAssistant,2,405,True,0
KSaiManikanta/Ai_Data-Science_Tutor,1,178,True,0
KunalGupta1212/Quiz-generator,2,957,True,0
kunalhugface/Football_Tutor_Chatbot,8,1982,True,0
kundan857/StudyAssistant,1,172,True,0
lekhankolla/StudyAssistant,2,315,True,0
Lesterchia1/FPOC2_AI-Tutor_Chatbot,4,2220,True,0
Lipely/FYP-lesson-plan-generator,2,4165,True,0
louiecerv/problem_solving_ai_tutor,1,582,True,0
LoveJesus/biblical-language-tutor-chirho,1,1057,True,0
LSATAdaptiveTutor/chatbot_tutor,8,1539,True,0
lynnnnrz/ai-teaching-assistant,6,6078,True,0
lynnnnrz/ai_teaching_assistant,5,4680,True,0
Madni2025/MDCAT-AI-TUTOR,1,193,True,0
Madni2025/MDCAT_AI_TUTOR,1,235,True,0
maheshj90/StudyAssistant,1,171,True,0
ManarMagdy6/Professional-Quiz-Generator,1,435,True,0
Mani-krishna/StudyAssistant,2,317,True,0
Manikanta2793/my-study-assistant,1,0,False,0
Maram-almasary/AI_Study_Assistant,1,937,True,0
maria355/Ai_teaching_assistant,1,1462,True,0
maria355/Quiz-Generator,1,479,True,0
marty331/AI_Tutor,1,585,True,0
mashetti-17varshitha/AI_tutor,1,152,True,0
Masterlew/math-tutor-chatbot,3,1836,True,0
mattdotvaughn/reachy_mini_language_tutor,6,8169,True,0
mayankjen/AI-Powered_Teaching-Assistant,1,681,True,0
MeetThakkar/quiz-generator,1,170,True,0
Megana10/ai_study_assistant,1,172,True,0
Mehak0711/AI_TUTOR,1,241,True,0
mehakkhan/Kaggle_Study_Assistant,1,461,True,0
Mehrann123/AI-tutor,1,147,True,0
Mehrann123/MMB-Quiz-Generator,1,1933,True,0
mehwishafsa/education_chatbot,1,165,True,0
mercLH44/new-ai-tutor,1,1094,True,0
midlajvalappil/AI-Powered-YouTube-Transcript-Tutor,1,1675,True,0
mithilesh22/StudyAssistant,1,176,True,0
mkT83303/spanish-tutor-chatbot,1,107,True,0
MMustafa313/RAG_Study_Assistant,1,431,True,0
mogbuehi/LO_AI_Tutor,1,401,True,0
mogbuehi/YT_Language_Tutor,2,1254,True,0
mogbuehi/YT_Language_Tutor_2,2,1254,True,0
MohammadYaseen/personalized-study-assistant-chatbot,1,335,True,0
mohammednouman/CB-Quiz-Generator,1,534,True,0
Mohd-Dilshan/ai-quiz-generator,3,434,True,0
Mohit99Chand/EducationalAIChatbot,1,574,True,0
Mohitha/Conversational_AI_Data_Science_Tutor,1,263,True,0
montue/Teaching_Assistant,1,205,True,0
Moon33/linda-quiz-generator,1,2333,True,0
MOrgan27/AI-study-assistant,1,126,True,0
motsimaslam/Afri-AI-Tutor,1,1307,True,0
mounikathatikonda/AI_TUTOR,1,157,True,0
Mpavan45/Ai_Data-Science_Tutor,1,520,True,0
mrhamxa/Gradio-based-RAG-study-assistant,1,614,True,0
MrSimple01/QuizGenerator,2,1211,True,0
muhammadHassan123/quiz-generator-ai,1,591,True,0
Mujahid1122/AI-Based-Quiz-Generator,1,542,True,0
mukeshpatel1006/Study_Assistant,1,191,True,0
Murtaza249/Text_to_Quiz_Generator,1,497,True,0
N-Mothish/personalized-study-assistant,1,497,True,0
nakshatravuppula25/AI_TUTOR,2,526,True,0
nandigamavamshi/StudyAssistant,3,160,True,0
nandini1810/AI_TUTOR,1,166,True,0
naveensngc/AI-Tutor,1,241,True,0
NavenTheRaven/Quiz_Generator,1,322,True,0
nersyan/quiz-generator,1,80,True,0
nhu445/ai-english-tutor,8,1093,True,0
Nijanth/teaching-assistant-backend,8,679,True,0
NIKHITHA913/aitutor,1,156,True,0
Nishanthan02/quiz-generator,8,2256,True,0
nishayaseen001/StudyAssistant,1,949,True,0
Nitinane/StudyAssistant,1,172,True,0
nohitha05/AI-TUTOR,1,147,True,0
npinar/quiz-generator,1,439,True,0
nruhh/Ai_tutor,1,156,True,0
nublelouch/study-assistant,1,386,True,0
Nullpointer-KK/ai-tutor-chatbot_KK,6,4249,True,0
oluinioluwa814/Ai-tutor,5,494,True,0
omprasadmahapatra/Ai_Math_Tutor,1,144,True,0
One2SkipAfew/tutormina-ai,1,3320,True,0
patilyash22/Python-tutor-chatbot,1,155,True,0
pattato1/language-tutor,4,1394,True,0
pattato1/languagetutor,2,995,True,0
Pavan-Kumar23/quiz-generator,7,17254,True,0
phanisrigandla/AI_Tutor,4,485,True,0
philipobiorah/socratic-tutor,1,671,True,0
Phoenix3274/AI-Quiz-Generator,1,176,True,0
Pooja1218/ai-quiz-generator,2,498,True,0
poojithathalla/AI_TUTOR,1,156,True,0
pradeepodela/AI-tech-tutor,1,433,True,0
Prak2005/AI-Powered-Personal-Study-Assistant,1,857,True,0
pranaymachi/StudyAssistant,1,175,True,0
praneeth300/AI-Quiz-Generator,2,763,True,0
Pranshuu/educational-chatbot,1,0,False,0
prasanth22118131/StudyAssistant,1,171,True,0
Pratap1928/AI_Teaching_Assistant,1,548,True,0
pratikshahp/Education-Chatbot-Guardrail,3,545,True,0
Premsp2005/StudyAssistant,1,176,True,0
provokingdiaries/AI_TUTOR,1,156,True,0
pseudolab/AI_Tutor_BERT,1,243,True,0
pydeoxy/quiz_generator,1,185,True,0
qhaData/quiz-generator-pipeline,7,1036,True,0
RabiaAbsar/genai-tutor-chatbot,1,193,True,0
rachapich/PISA-Teaching-Assistant-ChatBot-Guru,1,1652,True,0
Rahul2298/QuizGenerator,1,517,True,0
RAHYDV/teaching-assistant,1,2439,True,0
Raja02424/education-chatbot,1,75,True,0
Rajeev0102/StudyAssistant,1,175,True,0
Rajesh20/AI_Tutor,1,71,True,0
RAJKUMAR2504/AI-Study-Assistant,1,614,True,0
Ram05saran/ai-language-tutor,1,120,True,0
ramashandoubeh/Education-chatbot,1,245,True,0
Ramya8637/quiz-generator,1,167,True,0
RamyaKammari/jee_ai_tutor,5,1543,True,0
Rashpinder/RAG-based-Agentic-AI-tutor,6,4471,True,0
RayaRam11/Study-assistant,2,1257,True,0
Rayi-ss/AI-Powered-Study-Assistant,1,2218,True,0
Razzaqi3143/Engineering_Quiz_Generator,1,440,True,0
rcventura108000/Sophia-Ai-english-tutor,4,895,True,0
rexiy/study_assistant,1,172,True,0
rgos20000/Quiz_Generator,1,322,True,0
ridgebradley888/Smart-AI-Tutor-APP,1,1246,True,0
Rishabh12j/AI_Powered_Teaching_Assistant,1,714,True,0
Rishabh12j/Teaching_Assistant_AI,5,1306,True,0
Riya00/quiz_generator,1,316,True,0
rk803/Data_Science_Tutor_Ai,1,545,True,0
Rohit8827/StudyAssistant,1,179,True,0
Rosh-2/physics_tutor_chatbot,1,171,True,0
roshandakhore2003/nuron-teaching-assistant,1,241,True,0
roxqtang/ai-teaching-assistant,6,6078,True,0
rugvedaa/Ai-tutorApp,7,2078,True,0
Rupesx007/quiz_generator,1,945,True,0
Rushi420/StudyAssistant,1,169,True,0
s1313/Quiz_Generator,1,322,True,0
SaanviWatrana/saanvi-ai-study-tutor,2,553,True,0
sabahat-shakeel/study-assistant,1,146,True,0
sabrineoueslati/quiz-generator,1,313,True,0
sachi2004/ai-study-assistant,1,176,True,0
Sadem-12/AI_Study_Assistant,5,359,True,0
SahilGupta4/Study_Assistant,1,184,True,0
SaiAbhiYaswanth/study_assistant,2,315,True,0
saicharantej/aitutor,1,327,True,0
saikumar27/AI_Powered_Data_Science_Tutor,1,370,True,0
saimahashmi/ai-study-assistant,1,233,True,0
sairaarif89/AITutor,1,279,True,0
SaiRithwik2004/StudyAssistant,1,172,True,0
Sajid1974/Socratic_QA_GenAI_Tutor,8,2085,True,0
salsh093/SEG_StudyAssistant,3,2746,True,0
samadjunejo/ai_study_assistant,1,2755,True,0
samakanishkareddy/AI_TUTOR,1,156,True,0
Samanfatima563474/tutor-ai,3,1647,True,0
SambaReshma/AI_TUTOR,1,156,True,0
sameekghosh/ai-python-teaching-assistant,1,114,True,0
samekbotfactorycz/aitutor,1,212,True,0
Samyakj69/Study_Assistant,1,179,True,0
SanaBegum23/AI_tutor,1,161,True,0
sanakousar/AI_TUTOR,1,156,True,0
sanchezpaez/speech_to_text_to_speech_language_tutor,1,301,True,0
sandariyogitha/AI_TUTOR,1,156,True,0
sangareddijaswanth/study_assistant,1,178,True,0
sanjana033/my-study-assistant,1,155,True,0
Sanjay-Ai/AI-Powered-Socratic-Teaching-Assistant,1,234,True,0
Sanjay0102/StudyAssistant,1,173,True,0
sanketh2334/biology_ai_tutor,1,431,True,0
santhoshi-123/AITUTOR,1,164,True,0
santosh7/AI_converstion_Data_Science_Tutor,1,520,True,0
Santoshtambe/ai-study-assistant,1,185,True,0
Santoshtambe/study_Assistant,1,184,True,0
saraHamza/Engli-Tutor-Chatbot,6,800,True,0
Saravana-Saro14/Educational-chatbot,1,245,True,0
saru21/study_assistant,1,172,True,0
satvik452007/Study_assistant,1,183,True,0
Sayan21/Video-Tutor-AI,8,3032,True,0
SBDeploy/Study_Assistant,1,160,True,0
Selenophile786/physics-ai-tutor,3,1852,True,0
SerotoninRonin/Quiz-Generator,1,909,True,0
sewusida/statistics_study_assistant,1,1177,True,0
SH1VAM-2027/studyAssistant,1,250,True,0
Shahbazakbar/AI-Tutor,1,415,True,0
Shahbazakbar/RAG-AI-Tutor,1,411,True,0
shaheerawan3/AI-Teaching-Assistant,3,943,True,0
shahzaib41202/AI_ML_Tutor,1,451,True,0
shankar-dev24/StudyAssistant,2,313,True,0
shawarnaditya121/ai-teaching-assistant,2,1075,True,0
shb59na/ai-study-tutor,3,354,True,0
sheraz00/ai-teaching-assistant,8,1111,True,0
shikhahaljmili/ai-quiz-generator,1,431,True,0
shirosh/ai-tutor,1,312,True,0
Shivam10lm/ai-teaching-assistant,2,580,True,0
shivasai02/StudyAssistant,1,170,True,0
Shivateja23/DS_AI_TUTOR,1,392,True,0
Shlok1005/Voice_chatbot_tutor,2,425,True,0
shroukelnagdy/quiz-generator,2,1419,True,0
shukdevdatta123/Language-Learning-Companion,1,971,True,0
shukdevdatta123/Smart-AI-Tutor-APP,1,1246,True,0
shuklavartika/AI_Study_Assistant,8,419,True,0
Siddhisapkal/AI_Tutor,1,539,True,0
Sindu31/IntelliGent-AI-Tutor-System,2,495,True,0
siphiwesibisi/quiz-and-study-guide-generator,1,0,False,0
siphiwesibisi/quiz-generator,1,115,True,0
Sirichandanasamala/AI_TUTOR,1,164,True,0
SirigajjeDurga/AI-Personal-Tutor,5,622,True,0
siriItis/pdf-study-assistant,8,1601,True,0
sk-12/EDUBUDDY-AI-TUTOR,1,919,True,0
Solkyash/Ai-study-assistant,1,198,True,0
sravani30/AI_QUIZ_GENERATOR,2,758,True,0
Sree1216/AI_tutor,1,241,True,0
sreejamanthena/StudyAssistant,2,338,True,0
sreenivasulaReddy/StudyAssistant,1,173,True,0
Sri921980/Ai_Tutor,1,157,True,0
SrihithaReddy123/AI_TUTOR,1,166,True,0
srinivas25046/ai-study-assistant,1,284,True,0
Srushtii-13/Study_Assistant,1,172,True,0
starkbyte45896/Quiz_Generator,1,592,True,0
sudeepthitellapally/AITutor,1,164,True,0
sudipta26889/Quiz-Generator,4,2530,True,0
Sujithraam/StudyAssistant,2,313,True,0
SujithRaam07/StudyAssistant,2,399,True,0
sultan-hassan/adaptive_language_tutor,1,381,True,0
tariqm603/study-assistant,1,384,True,0
tarunkanugu/study_Assistant,2,1093,True,0
tayy786/Ai_Tutor_App,1,625,True,0
TeerthPurohit/RAG-TradingWithML-Teaching-Assistant,2,188,True,0
tejuu23/ai-tutor,1,241,True,0
tfitzge134/gemini-learning-companion,1,279,True,0
thabassum9/ai_tutor,1,104,True,0
Thepatelsuraj12/Rag-based-AI-Teaching-Assistant,1,1811,True,0
theSriram/StudyAssistant,2,315,True,0
thilak1/RAG-BASED-AI-TEACHING-ASSISTANT,1,918,True,0
Tomjedo/Education_Chatbot,1,306,True,0
Tonic/open-gpt-Lesson-Plan-Generator,1,206,True,0
tools4ds/ai_tutor,0,0,False,0
towardsai-tutors/ai-tutor-chatbot,2,393,True,0
Trinesh16/StudyAssistant,1,172,True,0
Trivikrama/Physics_Lesson_Plan_Generator,1,1043,True,0
Troy88/Quiz-Generator,1,809,True,0
Turbiling/Backward-Design-Lesson-Plan-Generator,1,453,True,0
Turbiling/GB_Education_Chatbot,1,139,True,0
Turbiling/Lesson_Plan_Generator,1,498,True,0
Turbiling/Sharqi_Education_Chatbot,2,669,True,0
Tutor-Ai-100/AI_Tutor_Chatbot,1,135,True,0
tyapab/ai-study-assistant,1,333,True,0
uc-msai631-2025-spring/group2_study_assistant,1,205,True,0
Udayveer1990/Language_tutor,1,163,True,0
Ukhanyo/quiz-generator-ai,1,114,True,0
UlliInduSree/AI_Tutor_Chatbot,1,109,True,0
UmarIqbal000/quiz-generator-ai,1,915,True,0
umerforsure/AI-Study-Assistant,1,1065,True,0
Us-er-na-me/QuizGenerator,1,65,True,0
Vaibhava24/my-study-assistant,1,240,True,0
Vaishnav-00299/my-study-assistant,1,183,True,0
Varshareddy1106/AI_TUTOR,1,166,True,0
VarunGoud314/Study_assistant,1,172,True,0
VinayKarthik800/ai-tutor,1,325,True,0
vinitwaghmare/ai-study-assistant,1,1119,True,0
vinitwaghmare/bilingual-ai-study-assistant,1,775,True,0
vipin1143/eva-teaching-assistant,7,2573,True,0
viraja1/AI-Quiz-Generator,1,356,True,0
vishalraaj1/AI-STUDY_ASSISTANT,1,175,True,0
VishnuSai05/Study_Assistant,1,181,True,0
vivicake666/math-tutor-chatbot,1,2114,True,0
VSrilekha/AI-Tutor,1,144,True,0
wajahatkhan/AI_tutor,1,99,True,0
wangzy217/Teaching_Assistant,1,205,True,0
wimida/socratic-tutor-bot,1,82,True,0
windsoldier/ai-teaching-assistant,1,835,True,0
wupeiwen2001/reachy-mini-language-tutor,6,5768,True,0
yadavnirmal002/CBSE10-AI-Tutor,1,119,True,0
Yasir-Bhatti/Education_tutor_chatbot,1,494,True,0
YasirAnsari/AI_tutor,1,382,True,0
Yasirkhalil12/ai-quiz-generator,1,519,True,0
Yenuli-Bimanya-404/ai-study-assistant-multilang,1,482,True,0
yiyiyi999/ai-tutor-classroom,3,8510,True,0
YKDep/StudyAssistant,1,172,True,0
Younis123/Education_Assistant_chatbot,1,162,True,0
yuvabe-ai/AI-Tutor,2,698,True,0
Yuvasriiii/personalized_study_assistant,1,173,True,0
zaini1234/pdf-quiz-generator,2,523,True,0
zara65724/AI-Vocabulary-Tutor,1,824,True,0
zizo66/AI-Language-Tutor,1,446,True,0
